"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"100","2024-04-25 : variability simulation 100000_condition-1_100",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8973.55876322039,1.61295408909068,1.21311086910388,2.15407365772314
"101","2024-04-25 : variability simulation 100000_condition-2_1",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121455.502277063,1.39757443645028,1.26876202645385,1.54625229184991
"102","2024-04-25 : variability simulation 100000_condition-2_2",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121816.318869397,1.50397877621165,1.36321712736461,1.64908577442478
"103","2024-04-25 : variability simulation 100000_condition-2_3",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121307.422833687,1.4110133554348,1.28162913398771,1.55459075858082
"104","2024-04-25 : variability simulation 100000_condition-2_4",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121148.131521342,1.40396022565653,1.2753026868684,1.54610756276441
"105","2024-04-25 : variability simulation 100000_condition-2_5",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121310.192273578,1.43806683870276,1.30222969354442,1.58610514600185
"106","2024-04-25 : variability simulation 100000_condition-2_6",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121511.675730042,1.4505185595641,1.31479764507114,1.59651370965301
"107","2024-04-25 : variability simulation 100000_condition-2_7",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121462.913026354,1.53406092232641,1.39116061010418,1.70276936058696
"108","2024-04-25 : variability simulation 100000_condition-2_8",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122069.215832958,1.57324598394128,1.42790349961493,1.73998717049694
"109","2024-04-25 : variability simulation 100000_condition-2_9",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121077.909900764,1.42382536657615,1.29677151434542,1.56834429885351
"110","2024-04-25 : variability simulation 100000_condition-2_10",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121369.602849299,1.55047449865601,1.40846517198638,1.70677956898364
"111","2024-04-25 : variability simulation 100000_condition-2_11",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121740.723667547,1.38146135715645,1.25557581173324,1.52311341179143
"112","2024-04-25 : variability simulation 100000_condition-2_12",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121238.884051637,1.49736021131888,1.36699109457181,1.6518214626882
"113","2024-04-25 : variability simulation 100000_condition-2_13",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120575.005581335,1.46992451687243,1.33232356989997,1.622813118513
"114","2024-04-25 : variability simulation 100000_condition-2_14",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121179.056976703,1.328137369754,1.20271566142445,1.44928610707005
"115","2024-04-25 : variability simulation 100000_condition-2_15",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121522.656477917,1.50254708256818,1.36149475807738,1.65356394026767
"116","2024-04-25 : variability simulation 100000_condition-2_16",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121442.612593503,1.36624156528868,1.24563027345178,1.49349730935322
"117","2024-04-25 : variability simulation 100000_condition-2_17",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122291.123136149,1.43946361340285,1.30069393835076,1.59005301709291
"118","2024-04-25 : variability simulation 100000_condition-2_18",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121456.395954841,1.5239721951921,1.37440855090046,1.66514091941209
"119","2024-04-25 : variability simulation 100000_condition-2_19",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121800.771217272,1.42008878984299,1.29874037884444,1.56742697747787
